crop_key,Crop Name (Common/Nepali),Planting Seasons (Nepali Months),Growth Duration (Weeks),Typical Harvest Months (Nepali),Required Altitude Range (masl),Water Requirement,Typical Disease Vulnerabilities,Storage Shelf Life (Days)
mint,Mint (Pudina),Falgun–Jestha,8–10 (first harvest; perennial),Ashadh–Ashwin and year-round in mild climates,500–2000,Medium–High,Mint rust (Puccinia menthae); powdery mildew; Verticillium wilt; root rot; aphids,3–5 (fresh); 7–10 (refrigerated); dried 180+
tamarind,Tamarind (Imli / Tentul),Chaitra–Jestha,Perennial (4–8 yrs to bearing),Falgun–Chaitra (pod harvest),60–500,Low,Powdery mildew; leaf spot (Phyllachora tamarindi); storage mold on pods; stem borer; scale insects,180–365 (dried pods at low humidity); 30–60 (fresh pulp)
bamboo_shoot,Bamboo Shoot (Tama),Ashadh–Bhadra,Perennial (harvested as new shoots emerge),Ashadh–Shrawan,200–2000,High (natural rainfall),Shoot rot (Fusarium spp.) if waterlogged; leaf rust; borer insects in culm,1–3 (fresh shoots); fermented/pickled (gundruk-style) 180+
tofu,Tofu (Tofu / Soybean Curd),Year-round,N/A – processed food product,N/A – processed,N/A – processed,N/A – processed,Bacterial spoilage (Pseudomonas spp.); mold contamination if packaging compromised,3–5 (fresh/ambient); 7–14 (refrigerated); 90–180 (vacuum-packed/UHT)
gundruk,Gundruk (Fermented Leafy Vegetable),Ashadh–Ashoj,N/A – fermented product,N/A – fermented,N/A – fermented,N/A – fermented,Contamination by undesirable bacteria if fermentation hygiene is poor; mold if moisture after drying is too high,180–365 (dry/ambient); indefinite if vacuum-sealed and dry
apple,Apple (Syau),Magh–Chaitra,Perennial (3–5 yrs to bearing),Bhadra–Ashwin (harvest),1500–3500,Medium,Apple scab (Venturia inaequalis); powdery mildew (Podosphaera leucotricha); fire blight (Erwinia amylovora); woolly apple aphid; codling moth (Cydia pomonella); alternaria blotch,14–30 (ambient); 90–180 (controlled atmosphere cold storage)
banana,Banana (Kera),Chaitra–Ashadh,40–52 (first crop; ratoon perennial),Kartik–Magh,60–1200,High,Panama wilt / fusarium wilt (Fusarium oxysporum f. sp. cubense); Sigatoka (Mycosphaerella musicola); banana bunchy top virus (BBTV); bacterial corm rot; nematodes,5–10 (ripe/ambient); 14–21 (green/ripening chain); 90+ (processed/dried)
lime,Lime (Nibuwa),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Bhadra–Kartik (main harvest),60–1200,Medium,Citrus tristeza virus; scab (Elsinoe fawcettii); greening (Huanglongbing); leaf miner (Phyllocnistis citrella); citrus canker (Xanthomonas axonopodis); gummosis (Phytophthora spp.),7–14 (fresh/ambient); 30–60 (cool storage)
pomegranate,Pomegranate (Anar),Falgun–Baisakh,Perennial (2–3 yrs to bearing),Bhadra–Kartik (harvest),300–1200,Low,Cercospora fruit spot; bacterial blight (Xanthomonas axonopodis pv. punicae); Alternaria heart rot; pomegranate butterfly (Virachola isocrates); mealybug,7–14 (fresh/ambient); 30–60 (cool storage)
mango,Mango (Aanp),Chaitra–Jestha,Perennial (3–5 yrs to bearing),Jestha–Ashadh (harvest),60–800,Low–Medium,Powdery mildew (Oidium mangiferae); anthracnose (Colletotrichum gloeosporioides); mango malformation (Fusarium mangiferae); bacterial canker; mango hopper (Idioscopus nitidulus); stone weevil,5–7 (ripe/ambient); 14–21 (cool chain); 90+ (processed/pulp)
grapes,Grapes (Angur),Magh–Chaitra,Perennial (2–3 yrs to bearing),Ashadh–Shrawan (harvest),500–1500,Medium,Downy mildew (Plasmopara viticola); powdery mildew (Erysiphe necator); botrytis bunch rot (Botrytis cinerea); anthracnose (Elsinoë ampelina); grape berry moth,5–7 (fresh/ambient); 21–30 (cool storage on bunch)
watermelon,Watermelon (Tarbuja),Chaitra–Jestha,10–12,Ashadh–Shrawan,60–600,High,Fusarium wilt; anthracnose (Colletotrichum orbiculare); downy mildew; CMV; ZYMV; fruit fly; root knot nematode,14–21 (whole fruit/ambient); 5–7 (cut)
orange,Orange (Suntala),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Mangsir–Poush (main harvest),500–2000,Medium,Citrus tristeza virus; scab; greening/Huanglongbing; gummosis; leaf miner; scale insects; fruit fly,14–21 (fresh/ambient); 30–60 (cool storage)
pineapple,Pineapple (Bhui Katahar),Chaitra–Ashadh,52–68 (first crop),Ashadh–Shrawan,60–800,Medium,Phytophthora heart rot; fusarium wilt; mealybug wilt-associated virus; mealybugs; root knot nematode,3–5 (ripe/ambient); 14–21 (cool chain); 90+ (canned/processed)
cucumber,Cucumber (Kankro),Chaitra–Jestha,8–10,Ashadh–Shrawan / Ashwin,60–1500,High,Downy mildew (Pseudoperonospora cubensis); powdery mildew (Sphaerotheca fuliginea); CMV; angular leaf spot (Pseudomonas syringae pv. lachrymans); anthracnose; fruit fly,5–7 (fresh/ambient); 10–14 (cool chain)
jack_fruit,Jackfruit (Rukh Katahar),Chaitra–Jestha,Perennial (3–8 yrs to bearing),Baisakh–Ashadh (harvest),60–800,Low–Medium,Phytophthora fruit rot; rhizopus fruit rot; bark borer (Batocera rufomaculata); leaf spot; shoot borer,3–5 (ripe fruit/ambient); 7–14 (immature/cool); 90+ (processed/canned)
papaya,Papaya (Mewa),Chaitra–Jestha,24–32 (seedling to first fruit),Bhadra–Poush,60–800,Medium,Papaya ringspot potyvirus (PRSV); powdery mildew; Phytophthora root rot; anthracnose; papaya mealybug; fruit fly,3–5 (ripe/ambient); 7–10 (cool chain); 90+ (dried/processed)
sugarcane,Sugarcane (Ukhu),Falgun–Baisakh,52–60 (annual ratoon crop),Poush–Falgun (crushing season),60–600,High,Red rot (Colletotrichum falcatum); wilt (Fusarium sacchari); smut (Sporisorium scitamineum); pokkah boeng (Fusarium moniliforme); pyrilla; top borer (Scirpophaga excerptalis),1–3 (fresh cut stalk for milling); cured jaggery 365+
ginger,Ginger (Aduwa),Chaitra–Jestha,32–36,Falgun–Chaitra,300–2000,High,Soft rot / rhizome rot (Pythium aphanidermatum); bacterial wilt (Ralstonia solanacearum); leaf spot (Phyllosticta zingiberi); storage rot if moisture >12%,7–14 (fresh rhizome); 365+ (dried/processed)
chilli,Chilli (Khursani),Falgun–Baisakh,14–18,Shrawan–Ashwin,60–1500,Medium,Chilli leaf curl virus; anthracnose (Colletotrichum gloeosporioides); fusarium wilt; bacterial wilt; thrips (Scirtothrips dorsalis); powdery mildew,7–14 (fresh green); 90–180 (dried red chilli)
capsicum,Capsicum / Bell Pepper (Bhede Khursani),Falgun–Baisakh,14–16,Shrawan–Ashwin,500–1800,Medium,Bacterial wilt; Phytophthora root rot; anthracnose; cucumber mosaic virus; thrips; aphids,5–7 (fresh/ambient); 14–21 (cool chain)
garlic,Garlic (Lasun),Kartik–Mangsir,22–26,Baisakh–Jestha,500–3000,Low,White rot (Sclerotinia cepivorum); rust (Puccinia allii); purple blotch (Alternaria porri); basal rot (Fusarium culmorum); stem nematode (Ditylenchus dipsaci),120–180 (cured/strung/dry); 30–60 (uncured)
coriander,Coriander / Dhania (Dhaniya),"Shrawan–Ashoj, Magh–Falgun",5–8 (leaf); 14–16 (seed),Mangsir–Poush (leaf); Falgun–Chaitra (seed),500–2000,Low–Medium,Powdery mildew; stem gall (Protomyces macrosporus); damping off; aphids; wilt,2–3 (fresh leaf); 7 (refrigerated); dried seed 365+
clive,Chive (Dundu Pyaj / Jimbu),Falgun–Baisakh,8–10 (first leaf harvest; perennial),Year-round harvest in mild climates,500–3000,Low–Medium,Downy mildew; purple blotch; onion thrips; rust,3–5 (fresh); 7–10 (refrigerated); dried 180+
fish,Fish (Macha) – Aquaculture,Year-round,24–36 (market size; species-dependent),Ashwin–Mangsir (main harvest season),60–1500 (pond/river altitude),Medium–High (water management),Aeromoniasis (Aeromonas hydrophila); columnaris disease; gill flukes; EUS (Epizootic Ulcerative Syndrome); ich (Ichthyophthirius multifiliis); anchor worm (Lernaea spp.),1 (live-to-fresh); 3–5 (ice); 365+ (dried/fermented/smoked)
arum,Arum / Taro (Pidalu / Karkalo),Chaitra–Jestha,20–24,Ashwin–Mangsir,200–1800,High,Taro leaf blight (Phytophthora colocasiae); dasheen mosaic virus (DsMV); root rot; taro beetle (Papuana huebneri),21–30 (corm/fresh); 90–120 (cured corm)
maize,Maize / Corn (Makai),"Chaitra–Jestha, Kartik–Mangsir",14–18,Ashadh–Shrawan,60–2800,Medium,Turcicum leaf blight (Exserohilum turcicum); grey leaf spot (Cercospora zeina); northern corn leaf blight; downy mildew; fall armyworm (Spodoptera frugiperda); maize streak virus; maize weevil in storage,180–365 (dry shelled grain); 3–5 (fresh cob)
sweet_lime,Sweet Lime (Mosambi / Madhura Nimbu),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Mangsir–Falgun,60–800,Medium,Citrus tristeza virus; greening (Huanglongbing); gummosis; scab; leaf miner; fruit fly; scale insects,7–14 (fresh/ambient); 21–30 (cool storage)
guava,Guava (Amba),Chaitra–Jestha,Perennial (2–3 yrs to bearing),Bhadra–Ashwin (main); Falgun–Chaitra (off-season),60–1500,Low,Wilt (Fusarium oxysporum f. sp. psidii); anthracnose (Colletotrichum gloeosporioides); stylar-end rot; fruit fly; guava mealy bug; bark eating caterpillar,3–5 (ripe/ambient); 7–14 (cool chain)
mombin,Mombin / Hog Plum (Lapsi),Chaitra–Jestha,Perennial (3–5 yrs to bearing),Bhadra–Ashwin,300–1500,Low–Medium,Anthracnose; leaf spot; fruit rot; scale insects; fruit fly,3–5 (ripe/ambient); 7–10 (cool); 90+ (dried/processed into candy/pickle)
barela,Barela / Wild Mustard / Local name (Tayar/Barela – context-dependent),Chaitra–Ashadh,8–10,Mangsir–Poush,500–2500,Low,Alternaria blight; white rust; aphids; downy mildew,3–5 (fresh leaf); dried 180+
lemon,Lemon (Kagati),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Bhadra–Kartik (main); partial year-round,60–1200,Medium,Citrus tristeza virus; canker (Xanthomonas axonopodis); gummosis; leaf miner; scale insects; fruit fly,7–14 (fresh/ambient); 30–60 (cool storage)
sword_bean,Sword Bean (Bada Simi),Chaitra–Jestha,12–16,Ashadh–Shrawan,60–1200,Medium,Bean mosaic virus; angular leaf spot; anthracnose; root rot; pod borer,365+ (dry mature seed); 5–7 (fresh young pods)
bakula,Bakula / Bullet Wood (Maulsari – ornamental/minor fruit),Falgun–Baisakh,Perennial (5+ yrs to bearing),Falgun–Baisakh (fruit),60–1000,Low,Leaf spot; sooty mold (from scale/aphid honeydew); minor fungal rots,5–7 (fresh fruit/ambient)
yam,Yam (Tarul / Ghar Tarul),Chaitra–Jestha,24–32,Ashwin–Mangsir,200–1800,Medium,Yam mosaic virus; anthracnose; dry rot (Fusarium spp.); scale insects; yam beetle,30–60 (cured tuber/ambient); 90–120 (dry cool store)
sweet_potato,Sweet Potato (Shakarkhand / Mitho Alu),Chaitra–Ashadh,16–20,Ashwin–Kartik,60–1800,Low–Medium,Sweet potato weevil (Cylas formicarius); black rot (Ceratocystis fimbriata); soft rot; leaf scab; sweet potato virus disease (complex),21–30 (fresh root/ambient); 90–120 (cured/cool)
mandarin,Mandarin (Suntala – type specific),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Mangsir–Poush,800–2000,Medium,Citrus tristeza virus; greening; scab; gummosis; leaf miner; scale; fruit fly,14–21 (fresh/ambient); 30–60 (cool storage)
knol_khol,Kohlrabi / Knol-Khol (Ganthgobi),"Bhadra–Kartik, Magh–Falgun",8–10,Poush–Falgun (main); Ashadh (hills),500–2500,Medium,Black rot; clubroot; Alternaria leaf spot; diamondback moth; aphids,7–14 (fresh/ambient); 30–60 (cool)
kinnow,Kinnow (Kinnow Suntala),Chaitra–Jestha,Perennial (3–5 yrs to bearing),Magh–Falgun,300–1200,Medium,Citrus tristeza virus; greening; gummosis; leaf miner; scale; fruit fly,14–21 (fresh/ambient); 30–60 (cool storage)
strawberry,Strawberry (Strawberry),Ashoj–Mangsir,16–20 (first fruit; perennial),Falgun–Chaitra (Hiude crop hills); Baisakh–Jestha (hill Garmi),1000–2500,Medium,Botrytis grey mould (Botrytis cinerea); powdery mildew; verticillium wilt; phytophthora root rot; two-spotted spider mite; strawberry crown moth,2–3 (fresh/ambient); 5–7 (refrigerated)
bauhania_flower,Bauhinia Flower / Koiralo Flower (Koiralo),Falgun–Baisakh,Perennial (flowers annually),Falgun–Chaitra (flower harvest),200–2000,Low,Powdery mildew; leaf spot; stem borer; scale insects,1–2 (fresh flower/ambient); 5–7 (refrigerated); dried 90+
pear,Pear (Naspati),Magh–Chaitra,Perennial (3–5 yrs to bearing),Bhadra–Ashwin,1000–2500,Medium,Fire blight (Erwinia amylovora); scab (Venturia pyrina); powdery mildew; pear psylla (Cacopsylla pyri); codling moth; brown rot (Monilinia fructigena),7–14 (ripe/ambient); 30–90 (cool storage/controlled atmosphere)
litchi,Lychee / Litchi (Litchi),Chaitra–Jestha,Perennial (3–5 yrs to bearing),Jestha–Ashadh,60–800,Medium–High,Anthracnose; downy blight (Peronophythora litchii); sooty mold; litchi erinose mite (Eriophyes litchii); bark borer; fruit borer,2–3 (fresh/ambient); 5–7 (refrigerated); 30+ (dried/canned)
musk_melon,Musk Melon / Cantaloupe (Kharbu),Chaitra–Jestha,10–12,Ashadh–Shrawan,60–600,Medium,Powdery mildew; fusarium wilt; CMV; downy mildew; anthracnose; fruit fly; aphids,7–14 (whole ripe fruit/ambient); 3–5 (cut)
bean_rajma,Rajma / Kidney Bean (Rajma),Chaitra–Jestha,12–16,Ashadh–Shrawan (hills); Poush–Magh (Terai),800–2500,Medium,Bean common mosaic virus (BCMV); angular leaf spot; anthracnose; rust; root rot; bean weevil in storage (Acanthoscelides obtectus),365+ (dry grain); 5–7 (fresh pods)
kiwi,Kiwi (Kiwi Fruit),Falgun–Baisakh,Perennial (3–5 yrs to bearing),Bhadra–Kartik,800–2500,Medium–High,Phytophthora crown rot; botrytis; bacterial canker (Pseudomonas syringae pv. actinidiae – PSA); armored scale insects,14–21 (fresh/ambient); 60–90 (cool storage)
sarifa,Custard Apple / Sarifa (Sarifa / Sitaphal),Chaitra–Jestha,Perennial (3–4 yrs to bearing),Bhadra–Kartik,200–1200,Low,Anthracnose; leaf spot; mealy bug; fruit borer; scale insects; dieback,3–5 (ripe/ambient); 7 (cool)
avocado,Avocado (Avocado / Makkhan Phal),Chaitra–Jestha,Perennial (3–5 yrs to bearing),Falgun–Baisakh,500–2000,Medium,Phytophthora root rot (Phytophthora cinnamomi); anthracnose; stem canker; mites; scale insects; fruit fly,3–7 (ripe/ambient); 7–14 (cool); 2 (cut)
amla,Amla / Indian Gooseberry (Amala),Chaitra–Jestha,Perennial (4–5 yrs to bearing),Ashwin–Mangsir,200–1800,Low,Rust (Phakopsora phyllanthi); powdery mildew; fruit rot (Botrytis spp.); bark eating caterpillar; leaf webber,7–14 (fresh fruit/ambient); 90+ (dried/pickled/candy)
tree_tomato,Tree Tomato / Tamarillo (Rukh Golbheda),Falgun–Baisakh,Perennial (18–24 months to first fruit),Mangsir–Falgun,800–2200,Medium,Tomato mosaic virus; Alternaria fruit spot; Phytophthora stem rot; nematodes; whitefly,5–7 (ripe/ambient); 14–21 (cool chain)
lentinula_edodes,Shiitake Mushroom (Lentinula edodes / Shiitake Chyau),Bhadra–Mangsir,4–8 (flush cycle per log/block),Year-round (controlled environment),700–2500 (production facility),Low–Medium (controlled humidity 80–90%),Green mould (Trichoderma spp.); yellow blotch disease; blue mould (Penicillium spp.); bacterial blotch (Pseudomonas tolaasii),1–3 (fresh/ambient); 7–10 (refrigerated/packaged); dried 365+
king_oyster,King Oyster Mushroom (Pleurotus eryngii / King Oyster Chyau),Year-round,4–8 (flush cycle per substrate block),Year-round (controlled environment),700–2500 (production facility),Low–Medium (controlled humidity 85–90%),Trichoderma green mould; bacterial blotch; cobweb mould; Lecanicillium fungicola; wet rot if humidity uncontrolled,1–3 (fresh/ambient); 7–14 (refrigerated/packaged); dried 365+
